"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","775","683","77.5","68.30000000000001"
"scientific reasoning","122","96","81","78.68852459016394","66.39344262295081"
"textbook question answering","158","125","117","79.11392405063292","74.0506329113924"
"numeric commonsense","144","69","71","47.91666666666667","49.30555555555556"
"arithmetic reasoning","353","212","215","60.05665722379604","60.90651558073654"
"visual question answering","179","108","105","60.33519553072626","58.659217877094974"
"geometry reasoning","239","225","153","94.14225941422593","64.01673640167364"
"algebraic reasoning","281","257","183","91.45907473309609","65.12455516014235"
"geometry problem solving","208","204","133","98.07692307692307","63.942307692307686"
"math word problem","186","127","125","68.27956989247312","67.20430107526882"
"logical reasoning","37","26","12","70.27027027027027","32.432432432432435"
"figure question answering","269","211","203","78.43866171003717","75.46468401486989"
"statistical reasoning","301","240","248","79.734219269103","82.39202657807309"
