"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","646","527","64.60000000000001","52.7"
"scientific reasoning","122","77","68","63.114754098360656","55.73770491803278"
"textbook question answering","158","98","84","62.0253164556962","53.16455696202531"
"numeric commonsense","144","61","63","42.36111111111111","43.75"
"arithmetic reasoning","353","169","145","47.875354107648725","41.07648725212464"
"visual question answering","179","98","73","54.7486033519553","40.78212290502793"
"geometry reasoning","239","179","138","74.89539748953975","57.74058577405857"
"algebraic reasoning","281","207","156","73.66548042704626","55.51601423487544"
"geometry problem solving","208","164","127","78.84615384615384","61.057692307692314"
"math word problem","186","97","91","52.1505376344086","48.924731182795696"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","189","152","70.26022304832715","56.50557620817844"
"statistical reasoning","301","206","184","68.43853820598007","61.12956810631229"
