"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","575","235","57.49999999999999","23.5"
"scientific reasoning","122","94","35","77.04918032786885","28.688524590163933"
"textbook question answering","158","110","46","69.62025316455697","29.11392405063291"
"numeric commonsense","144","43","35","29.86111111111111","24.305555555555554"
"arithmetic reasoning","353","124","86","35.12747875354108","24.362606232294617"
"visual question answering","179","96","64","53.63128491620112","35.754189944134076"
"geometry reasoning","239","212","42","88.70292887029288","17.573221757322173"
"algebraic reasoning","281","242","54","86.12099644128114","19.217081850533805"
"geometry problem solving","208","203","38","97.59615384615384","18.269230769230766"
"math word problem","186","42","27","22.58064516129032","14.516129032258066"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","124","60","46.09665427509294","22.304832713754646"
"statistical reasoning","301","116","65","38.53820598006645","21.59468438538206"
