"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","445","415","44.5","41.5"
"scientific reasoning","122","85","66","69.67213114754098","54.09836065573771"
"textbook question answering","158","97","87","61.39240506329114","55.06329113924051"
"numeric commonsense","144","32","34","22.22222222222222","23.61111111111111"
"arithmetic reasoning","353","101","115","28.611898016997166","32.577903682719544"
"visual question answering","179","92","53","51.39664804469274","29.608938547486037"
"geometry reasoning","239","133","80","55.64853556485355","33.47280334728033"
"algebraic reasoning","281","160","100","56.93950177935944","35.587188612099645"
"geometry problem solving","208","125","66","60.09615384615385","31.73076923076923"
"math word problem","186","16","70","8.60215053763441","37.634408602150536"
"logical reasoning","37","22","2","59.45945945945946","5.405405405405405"
"figure question answering","269","115","139","42.75092936802974","51.6728624535316"
"statistical reasoning","301","108","184","35.880398671096344","61.12956810631229"
