"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","474","349","47.4","34.9"
"scientific reasoning","122","88","57","72.1311475409836","46.72131147540984"
"textbook question answering","158","101","71","63.92405063291139","44.936708860759495"
"numeric commonsense","144","40","40","27.77777777777778","27.77777777777778"
"arithmetic reasoning","353","100","99","28.328611898016998","28.04532577903683"
"visual question answering","179","93","62","51.955307262569825","34.63687150837989"
"geometry reasoning","239","152","68","63.59832635983263","28.451882845188287"
"algebraic reasoning","281","179","84","63.70106761565836","29.8932384341637"
"geometry problem solving","208","143","59","68.75","28.365384615384613"
"math word problem","186","22","43","11.827956989247312","23.118279569892472"
"logical reasoning","37","22","4","59.45945945945946","10.81081081081081"
"figure question answering","269","115","114","42.75092936802974","42.37918215613383"
"statistical reasoning","301","105","128","34.883720930232556","42.524916943521596"
