"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","575","353","57.49999999999999","35.3"
"scientific reasoning","122","96","51","78.68852459016394","41.80327868852459"
"textbook question answering","158","108","62","68.35443037974683","39.24050632911392"
"numeric commonsense","144","48","36","33.33333333333333","25.0"
"arithmetic reasoning","353","134","103","37.960339943342774","29.178470254957507"
"visual question answering","179","96","60","53.63128491620112","33.5195530726257"
"geometry reasoning","239","162","72","67.78242677824268","30.125523012552303"
"algebraic reasoning","281","190","89","67.61565836298932","31.672597864768683"
"geometry problem solving","208","153","66","73.5576923076923","31.73076923076923"
"math word problem","186","56","48","30.107526881720432","25.806451612903224"
"logical reasoning","37","23","5","62.16216216216216","13.513513513513514"
"figure question answering","269","162","117","60.223048327137555","43.49442379182156"
"statistical reasoning","301","160","135","53.156146179402","44.85049833887043"
