"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","436","784","43.6","78.4"
"scientific reasoning","122","74","89","60.65573770491803","72.95081967213115"
"textbook question answering","158","85","115","53.79746835443038","72.78481012658227"
"numeric commonsense","144","36","81","25.0","56.25"
"arithmetic reasoning","353","94","253","26.628895184135974","71.671388101983"
"visual question answering","179","88","108","49.162011173184354","60.33519553072626"
"geometry reasoning","239","153","196","64.01673640167364","82.00836820083683"
"algebraic reasoning","281","178","226","63.345195729537366","80.42704626334519"
"geometry problem solving","208","146","177","70.1923076923077","85.09615384615384"
"math word problem","186","20","167","10.75268817204301","89.78494623655914"
"logical reasoning","37","8","16","21.62162162162162","43.24324324324324"
"figure question answering","269","97","217","36.059479553903344","80.66914498141264"
"statistical reasoning","301","100","266","33.222591362126245","88.37209302325581"
