"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","427","54.0","42.699999999999996"
"scientific reasoning","122","94","80","77.04918032786885","65.57377049180327"
"textbook question answering","158","107","93","67.72151898734177","58.86075949367089"
"numeric commonsense","144","39","35","27.083333333333332","24.305555555555554"
"arithmetic reasoning","353","99","91","28.04532577903683","25.77903682719547"
"visual question answering","179","92","84","51.39664804469274","46.927374301675975"
"geometry reasoning","239","212","155","88.70292887029288","64.85355648535564"
"algebraic reasoning","281","239","177","85.05338078291815","62.989323843416365"
"geometry problem solving","208","203","147","97.59615384615384","70.67307692307693"
"math word problem","186","22","21","11.827956989247312","11.29032258064516"
"logical reasoning","37","24","8","64.86486486486487","21.62162162162162"
"figure question answering","269","116","82","43.12267657992565","30.483271375464682"
"statistical reasoning","301","106","88","35.21594684385382","29.2358803986711"
