"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","423","240","42.3","24.0"
"scientific reasoning","122","69","37","56.557377049180324","30.327868852459016"
"textbook question answering","158","86","50","54.43037974683544","31.645569620253166"
"numeric commonsense","144","38","21","26.38888888888889","14.583333333333334"
"arithmetic reasoning","353","96","64","27.19546742209632","18.13031161473088"
"visual question answering","179","92","48","51.39664804469274","26.81564245810056"
"geometry reasoning","239","144","61","60.25104602510461","25.523012552301257"
"algebraic reasoning","281","166","81","59.07473309608541","28.825622775800714"
"geometry problem solving","208","136","58","65.38461538461539","27.884615384615387"
"math word problem","186","20","21","10.75268817204301","11.29032258064516"
"logical reasoning","37","14","5","37.83783783783784","13.513513513513514"
"figure question answering","269","89","63","33.08550185873606","23.42007434944238"
"statistical reasoning","301","89","65","29.568106312292358","21.59468438538206"
