"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","670","433","67.0","43.3"
"scientific reasoning","122","96","68","78.68852459016394","55.73770491803278"
"textbook question answering","158","114","89","72.15189873417721","56.32911392405063"
"numeric commonsense","144","57","50","39.58333333333333","34.72222222222222"
"arithmetic reasoning","353","161","129","45.609065155807365","36.54390934844193"
"visual question answering","179","107","75","59.77653631284916","41.899441340782126"
"geometry reasoning","239","218","93","91.21338912133892","38.912133891213394"
"algebraic reasoning","281","246","116","87.54448398576513","41.281138790035584"
"geometry problem solving","208","203","81","97.59615384615384","38.94230769230769"
"math word problem","186","69","61","37.096774193548384","32.795698924731184"
"logical reasoning","37","26","4","70.27027027027027","10.81081081081081"
"figure question answering","269","177","127","65.79925650557621","47.21189591078067"
"statistical reasoning","301","189","156","62.7906976744186","51.82724252491694"
