"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","539","374","53.900000000000006","37.4"
"scientific reasoning","122","90","51","73.77049180327869","41.80327868852459"
"textbook question answering","158","104","68","65.82278481012658","43.037974683544306"
"numeric commonsense","144","45","33","31.25","22.916666666666664"
"arithmetic reasoning","353","116","107","32.86118980169972","30.31161473087819"
"visual question answering","179","98","69","54.7486033519553","38.547486033519554"
"geometry reasoning","239","159","101","66.52719665271967","42.25941422594142"
"algebraic reasoning","281","189","116","67.25978647686833","41.281138790035584"
"geometry problem solving","208","151","90","72.59615384615384","43.269230769230774"
"math word problem","186","33","43","17.741935483870968","23.118279569892472"
"logical reasoning","37","23","5","62.16216216216216","13.513513513513514"
"figure question answering","269","153","104","56.877323420074354","38.66171003717472"
"statistical reasoning","301","149","119","49.501661129568106","39.53488372093023"
