"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","402","785","40.2","78.5"
"scientific reasoning","122","62","91","50.81967213114754","74.59016393442623"
"textbook question answering","158","72","123","45.56962025316456","77.84810126582279"
"numeric commonsense","144","27","97","18.75","67.36111111111111"
"arithmetic reasoning","353","90","268","25.495750708215297","75.92067988668555"
"visual question answering","179","84","124","46.927374301675975","69.27374301675978"
"geometry reasoning","239","141","192","58.995815899581594","80.3347280334728"
"algebraic reasoning","281","168","228","59.7864768683274","81.13879003558719"
"geometry problem solving","208","136","171","65.38461538461539","82.21153846153845"
"math word problem","186","13","166","6.989247311827956","89.24731182795699"
"logical reasoning","37","7","11","18.91891891891892","29.72972972972973"
"figure question answering","269","97","201","36.059479553903344","74.72118959107806"
"statistical reasoning","301","102","253","33.88704318936877","84.0531561461794"
