"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","540","719","54.0","71.89999999999999"
"scientific reasoning","122","94","80","77.04918032786885","65.57377049180327"
"textbook question answering","158","107","111","67.72151898734177","70.25316455696202"
"numeric commonsense","144","39","79","27.083333333333332","54.861111111111114"
"arithmetic reasoning","353","99","238","28.04532577903683","67.42209631728045"
"visual question answering","179","92","106","51.39664804469274","59.217877094972074"
"geometry reasoning","239","212","186","88.70292887029288","77.82426778242679"
"algebraic reasoning","281","239","213","85.05338078291815","75.80071174377224"
"geometry problem solving","208","203","167","97.59615384615384","80.28846153846155"
"math word problem","186","22","159","11.827956989247312","85.48387096774194"
"logical reasoning","37","24","10","64.86486486486487","27.027027027027028"
"figure question answering","269","116","176","43.12267657992565","65.4275092936803"
"statistical reasoning","301","106","219","35.21594684385382","72.75747508305648"
