"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","543","675","54.300000000000004","67.5"
"scientific reasoning","122","94","79","77.04918032786885","64.75409836065575"
"textbook question answering","158","107","106","67.72151898734177","67.08860759493672"
"numeric commonsense","144","40","70","27.77777777777778","48.61111111111111"
"arithmetic reasoning","353","100","218","28.328611898016998","61.756373937677054"
"visual question answering","179","93","91","51.955307262569825","50.83798882681564"
"geometry reasoning","239","212","168","88.70292887029288","70.29288702928869"
"algebraic reasoning","281","239","193","85.05338078291815","68.68327402135232"
"geometry problem solving","208","203","147","97.59615384615384","70.67307692307693"
"math word problem","186","22","146","11.827956989247312","78.49462365591397"
"logical reasoning","37","24","10","64.86486486486487","27.027027027027028"
"figure question answering","269","118","185","43.866171003717476","68.77323420074349"
"statistical reasoning","301","108","231","35.880398671096344","76.74418604651163"
