"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","634","436","63.4","43.6"
"scientific reasoning","122","96","61","78.68852459016394","50.0"
"textbook question answering","158","112","77","70.88607594936708","48.734177215189874"
"numeric commonsense","144","52","36","36.11111111111111","25.0"
"arithmetic reasoning","353","149","116","42.20963172804532","32.86118980169972"
"visual question answering","179","100","64","55.865921787709496","35.754189944134076"
"geometry reasoning","239","200","129","83.68200836820083","53.97489539748954"
"algebraic reasoning","281","229","147","81.49466192170819","52.313167259786475"
"geometry problem solving","208","188","119","90.38461538461539","57.21153846153846"
"math word problem","186","65","59","34.946236559139784","31.72043010752688"
"logical reasoning","37","24","5","64.86486486486487","13.513513513513514"
"figure question answering","269","169","117","62.825278810408925","43.49442379182156"
"statistical reasoning","301","174","141","57.80730897009967","46.84385382059801"
