"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","415","563","41.5","56.3"
"scientific reasoning","122","84","69","68.85245901639344","56.557377049180324"
"textbook question answering","158","95","96","60.12658227848101","60.75949367088608"
"numeric commonsense","144","38","68","26.38888888888889","47.22222222222222"
"arithmetic reasoning","353","96","195","27.19546742209632","55.240793201133144"
"visual question answering","179","92","78","51.39664804469274","43.575418994413404"
"geometry reasoning","239","116","108","48.53556485355649","45.18828451882845"
"algebraic reasoning","281","141","135","50.177935943060504","48.04270462633452"
"geometry problem solving","208","108","89","51.92307692307693","42.78846153846153"
"math word problem","186","19","136","10.21505376344086","73.11827956989248"
"logical reasoning","37","10","8","27.027027027027028","21.62162162162162"
"figure question answering","269","101","164","37.54646840148699","60.966542750929364"
"statistical reasoning","301","102","213","33.88704318936877","70.7641196013289"
