"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","588","477","58.8","47.699999999999996"
"scientific reasoning","122","96","61","78.68852459016394","50.0"
"textbook question answering","158","108","80","68.35443037974683","50.63291139240506"
"numeric commonsense","144","49","52","34.02777777777778","36.11111111111111"
"arithmetic reasoning","353","134","159","37.960339943342774","45.04249291784703"
"visual question answering","179","98","98","54.7486033519553","54.7486033519553"
"geometry reasoning","239","214","100","89.5397489539749","41.84100418410041"
"algebraic reasoning","281","239","119","85.05338078291815","42.34875444839858"
"geometry problem solving","208","203","87","97.59615384615384","41.82692307692308"
"math word problem","186","56","68","30.107526881720432","36.55913978494624"
"logical reasoning","37","24","3","64.86486486486487","8.108108108108109"
"figure question answering","269","123","144","45.72490706319702","53.53159851301115"
"statistical reasoning","301","113","158","37.54152823920266","52.49169435215947"
