"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","302","245","30.2","24.5"
"scientific reasoning","122","58","36","47.540983606557376","29.508196721311474"
"textbook question answering","158","75","41","47.46835443037975","25.949367088607595"
"numeric commonsense","144","30","20","20.833333333333336","13.88888888888889"
"arithmetic reasoning","353","94","78","26.628895184135974","22.096317280453256"
"visual question answering","179","92","51","51.39664804469274","28.49162011173184"
"geometry reasoning","239","71","64","29.707112970711297","26.778242677824267"
"algebraic reasoning","281","94","73","33.45195729537366","25.97864768683274"
"geometry problem solving","208","63","60","30.288461538461537","28.846153846153843"
"math word problem","186","9","28","4.838709677419355","15.053763440860216"
"logical reasoning","37","15","8","40.54054054054054","21.62162162162162"
"figure question answering","269","63","65","23.42007434944238","24.1635687732342"
"statistical reasoning","301","57","65","18.93687707641196","21.59468438538206"
