"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","531","637","53.1","63.7"
"scientific reasoning","122","88","82","72.1311475409836","67.21311475409836"
"textbook question answering","158","100","118","63.29113924050633","74.68354430379746"
"numeric commonsense","144","49","62","34.02777777777778","43.05555555555556"
"arithmetic reasoning","353","108","198","30.59490084985836","56.09065155807366"
"visual question answering","179","96","84","53.63128491620112","46.927374301675975"
"geometry reasoning","239","157","159","65.69037656903765","66.52719665271967"
"algebraic reasoning","281","186","193","66.19217081850533","68.68327402135232"
"geometry problem solving","208","149","138","71.63461538461539","66.34615384615384"
"math word problem","186","32","124","17.20430107526882","66.66666666666666"
"logical reasoning","37","22","9","59.45945945945946","24.324324324324326"
"figure question answering","269","154","173","57.249070631970255","64.31226765799256"
"statistical reasoning","301","146","227","48.50498338870432","75.41528239202658"
