"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","458","494","45.800000000000004","49.4"
"scientific reasoning","122","89","79","72.95081967213115","64.75409836065575"
"textbook question answering","158","101","107","63.92405063291139","67.72151898734177"
"numeric commonsense","144","38","40","26.38888888888889","27.77777777777778"
"arithmetic reasoning","353","98","175","27.762039660056658","49.57507082152974"
"visual question answering","179","91","77","50.83798882681564","43.01675977653631"
"geometry reasoning","239","142","121","59.41422594142259","50.627615062761514"
"algebraic reasoning","281","169","151","60.14234875444839","53.736654804270465"
"geometry problem solving","208","134","105","64.42307692307693","50.480769230769226"
"math word problem","186","22","110","11.827956989247312","59.13978494623656"
"logical reasoning","37","18","7","48.64864864864865","18.91891891891892"
"figure question answering","269","110","95","40.89219330855018","35.31598513011153"
"statistical reasoning","301","106","145","35.21594684385382","48.17275747508305"
