"split","aAcc","fAcc","qAcc"
"Overall","61.09358569926393","33.81502890173411","35.16483516483517"
"VD","59.22165820642979","35.21739130434783","30.685920577617328"
"VS","64.16666666666667","31.03448275862069","42.13483146067416"
"VS_ocr","61.111111111111114","38.46153846153847","25.925925925925924"
"VS_chart","60.76923076923077","22.5","51.31578947368421"
"VS_map","56.25","22.727272727272727","21.875"
"VS_table","74.10714285714286","42.857142857142854","51.162790697674424"
"VD_video","50.0","12.5","15.942028985507244"
"VD_ocr","74.15730337078652","53.48837209302325","46.51162790697674"
"VD_illusion","54.166666666666664","33.87096774193548","23.61111111111111"
"VD_figure","78.75","60.97560975609756","56.41025641025641"
"VD_math","53.70370370370371","16.666666666666664","27.77777777777778"
