"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","639","335","63.9","33.5"
"scientific reasoning","122","95","47","77.8688524590164","38.52459016393443"
"textbook question answering","158","110","57","69.62025316455697","36.075949367088604"
"numeric commonsense","144","52","31","36.11111111111111","21.52777777777778"
"arithmetic reasoning","353","138","103","39.09348441926346","29.178470254957507"
"visual question answering","179","102","63","56.98324022346368","35.19553072625698"
"geometry reasoning","239","213","64","89.1213389121339","26.778242677824267"
"algebraic reasoning","281","242","77","86.12099644128114","27.402135231316727"
"geometry problem solving","208","203","57","97.59615384615384","27.403846153846157"
"math word problem","186","51","41","27.419354838709676","22.043010752688172"
"logical reasoning","37","25","7","67.56756756756756","18.91891891891892"
"figure question answering","269","173","117","64.31226765799256","43.49442379182156"
"statistical reasoning","301","169","127","56.14617940199336","42.19269102990033"
