"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","551","295","55.1","29.5"
"scientific reasoning","122","94","46","77.04918032786885","37.704918032786885"
"textbook question answering","158","107","60","67.72151898734177","37.9746835443038"
"numeric commonsense","144","46","52","31.944444444444443","36.11111111111111"
"arithmetic reasoning","353","106","102","30.02832861189802","28.89518413597734"
"visual question answering","179","99","60","55.3072625698324","33.5195530726257"
"geometry reasoning","239","212","63","88.70292887029288","26.359832635983267"
"algebraic reasoning","281","239","68","85.05338078291815","24.199288256227756"
"geometry problem solving","208","203","46","97.59615384615384","22.115384615384613"
"math word problem","186","22","69","11.827956989247312","37.096774193548384"
"logical reasoning","37","24","6","64.86486486486487","16.216216216216218"
"figure question answering","269","120","60","44.60966542750929","22.304832713754646"
"statistical reasoning","301","110","65","36.544850498338874","21.59468438538206"
